lat,long,country,mag,month,day,year
38.5,20.5,GREECE,7,2,18,1723
37.2,-7.6,PORTUGAL,,12,27,1722
14.002,120.993,PHILIPPINES,,9,24,1716
-18.6,-70.2,CHILE,,11,26,1705
17.5,-61.5,ANTIGUA AND BARBUDA,8,4,16,1690
38.4,26.9,TURKEY,7,7,10,1688
-18.5,-70.35,CHILE,7.5,3,10,1681
-9,-79,PERU,8.4,6,18,1678
14.5,120.5,PHILIPPINES,,12,7,1677
36.5,25.5,GREECE,,,,1672
35.3,118.6,CHINA,8.5,7,25,1668
38.4,27.1,TURKEY,6.6,7,10,1668
42.6,18.1,CROATIA,7.2,4,6,1667
14.4,121,PHILIPPINES,8,11,30,1645
37.6,21,GREECE,6.9,11,5,1633
35.2,139.2,JAPAN,7.1,3,1,1633
37.6,21,GREECE,6.6,5,5,1622
-18.5,-70.35,CHILE,7.5,9,16,1615
35.5,25.5,GREECE,,,,1604
37.783,-25.5,PORTUGAL,,7,26,1591
-17.2,-72.9,PERU,7.7,,,1590
-12.3,-77.7,PERU,8.5,7,10,1586
51.019,1.309,UK,6.2,4,6,1580
10.7,-64.1,VENEZUELA,,9,1,1543
38.7,-9.1,PORTUGAL,7.7,1,26,1531
46.2,13.433,ITALY,6.5,3,26,1511
40.8,28.1,TURKEY,7.7,9,10,1509
35,25.5,GREECE,7.1,5,29,1508
38.4,26.3,GREECE,6.8,3,20,1389
33.5,36,SYRIA,7.6,5,20,1202
34,137.5,JAPAN,8.4,12,17,1096
32,35.5,SYRIA,7,1,18,746
40.7,29.3,TURKEY,7.3,10,26,740
40.9,28.8,TURKEY,7,12,14,558
40.8,29.9,TURKEY,7.8,7,9,551
31.3,35.6,JORDAN,,5,24,362
33.9,35.5,TURKEY,4.1,,,348
34.8,32,CYPRUS,6.3,6,20,76
10.7,-64.1,VENEZUELA,,9,1,1530
27.85,128.25,JAPAN,,,,1664
23,117,CHINA,,10,31,1076
0.8,127.325,INDONESIA,,7,1,1608
45,-125,USA,9,1,27,1700
-6,130,INDONESIA,,9,12,1763
-4,129,INDONESIA,7,9,5,1711
51.1,158,RUSSIA,,10,16,1737
38,126,NORTH KOREA,6.4,7,31,1668
-15.5,-75,PERU,,5,7,1647
-41.8,-73.8,CHILE,,5,14,1633
33.3,131.6,JAPAN,6.4,9,10,1597
-32.5,-71.5,CHILE,9.1,7,8,1730
40,144,JAPAN,8.1,4,13,1677
-36.83,-73.03,CHILE,8,3,15,1657
-17.88,-70.94,PERU,8.5,11,24,1604
33,35,SYRIA,,12,5,1033
35,136.8,JAPAN,6.4,5,31,1666
-37,-73,CHILE,8.5,5,25,1751
35.683,35.8,SYRIA,,,,-2000
-6.102,105.423,INDONESIA,,,,416
36.6,30,TURKEY,,,,262
31.6,130.7,JAPAN,6.5,7,20,766
34.8,138.2,JAPAN,6.7,3,21,1589
33,122.5,CHINA,6.8,8,19,1670
15.8,121.7,PHILIPPINES,,12,27,1735
33.4,136.2,JAPAN,7,11,22,1360
36.3,136,JAPAN,6.6,4,1,1726
31.7,132,JAPAN,7.6,10,30,1662
39.4,140.1,JAPAN,6.9,10,18,1644
39,144.5,JAPAN,7.5,12,6,1616
35.1,140.5,JAPAN,7.2,2,8,1602
35,136.8,JAPAN,8.2,1,18,1586
9.9,-62.3,VENEZUELA,,8,2,1498
35,27,GREECE,8,8,8,1303
35.2,139.3,JAPAN,7.9,8,,818
34.6,135.3,JAPAN,6.5,6,9,745
36.8,27.3,GREECE,7,8,15,554
40.3,27.8,TURKEY,6.8,,,543
38.9,22.7,GREECE,7.1,6,,-426
36.4,25.4,GREECE,,,,-1610
40.7,142,JAPAN,7.1,3,15,1763
22,92,BANGLADESH,,4,2,1762
38.3,22.1,GREECE,6.8,5,14,1748
35,141.5,JAPAN,7.4,11,4,1677
42.07,140.68,JAPAN,6.5,7,31,1640
38.1,142,JAPAN,7,9,9,1616
37.5,138,JAPAN,7.7,11,26,1614
33.3,131.7,JAPAN,6.9,9,4,1596
-38.7,-73.5,CHILE,8,10,28,1562
32,35.5,ISRAEL,6.5,1,14,1546
35.1,139.5,JAPAN,7.1,9,12,1495
36,28,GREECE,7.1,5,3,1481
33,135,JAPAN,8.4,8,3,1361
29.5,34.95,ISRAEL,,3,18,1068
33,135.3,JAPAN,8.6,8,26,887
38.5,143.8,JAPAN,8.6,7,13,869
32.5,134,JAPAN,8.4,11,29,684
39.7,23.3,GREECE,7,,,-479
38.25,22.25,GREECE,7.3,,,-373
35,23,GREECE,8,7,21,365
-36.75,-73,CHILE,8.3,2,8,1570
-39.8,-73.2,CHILE,8.5,12,16,1575
33,134.9,JAPAN,7.9,2,3,1605
39,144.5,JAPAN,8.1,12,2,1611
-13.5,-76.5,PERU,8.5,10,20,1687
17.8,-76.7,JAMAICA,7.7,6,7,1692
34.7,139.8,JAPAN,8.2,12,30,1703
33.2,134.8,JAPAN,8.4,10,28,1707
-11.996,-77.198,PERU,8,10,29,1746
37.2,138.1,JAPAN,6.6,5,20,1751
37,-10,PORTUGAL,8.5,11,1,1755
40.9,140.7,JAPAN,6.9,3,8,1766
37.5,138.1,JAPAN,6.5,8,2,887
34.8,131.8,JAPAN,7.5,6,16,1026
41,139.5,JAPAN,7,10,31,1341
-3.75,127.75,INDONESIA,6.8,2,17,1674
34,138.1,JAPAN,8.3,9,20,1498
32.4,130.5,JAPAN,6.4,6,30,744
23.12,113.25,CHINA,,5,,1765
32.7,129.7,JAPAN,,4,1,1700
41.5,139.37,JAPAN,6.9,8,29,1741
14.6,120.98,PHILIPPINES,,12,,1770
-6.3,107.3,INDONESIA,,6,5,1861
-44,172,NEW ZEALAND,,3,,1856
-33.8,151.3,AUSTRALIA,,8,5,1867
43.4,16.7,CROATIA,,3,22,1844
20.9,134.8,NORTHWEST PACIFIC OCEAN,,1,15,1854
39,-28,PORTUGAL,,1,23,1792
54.6,-165,USA,,7,26,1856
-33.8,151.3,AUSTRALIA,,8,15,1866
43.566,4.183,FRANCE,,12,17,1798
52.37,4.53,HOLLAND,,5,21,1792
19.67,145.4,USA TERRITORY,,,,1819
42.6,18.1,CROATIA,6.5,9,14,1843
-12.08,-77,PERU,,11,28,1865
38,141,JAPAN,,,,1789
54,-167,USA,,7,16,1865
11.67,92.73,INDIA,,8,19,1868
38.5,-28,PORTUGAL,,,,1787
31.6,130.7,JAPAN,,9,9,1780
-33.62,-76.83,CHILE,,2,12,1839
-3.7,128.2,INDONESIA,,3,,1861
54,-167,USA,,5,29,1796
16.8,-99.2,MEXICO,,12,4,1854
36.404,25.396,GREECE,6,3,6,1866
-5,105,INDONESIA,,5,4,1851
16.7,-99.2,MEXICO,,3,17,1860
50.9,155.5,RUSSIA,,7,9,1854
39.5,142,JAPAN,,7,20,1850
-33.8,151.3,AUSTRALIA,,8,9,1866
20.6,134.8,NORTHWEST PACIFIC OCEAN,,,,1850
-9,121,INDONESIA,,4,14,1855
7.5,146.5,"MICRONESIA, FED. STATES OF",,10,,1837
32.8,130.3,JAPAN,,5,13,1791
41.1,24.3,TURKEY,7.3,5,23,1829
24,121.83,TAIWAN,,10,29,1853
15.933,-61.267,GUADELOUPE (FRENCH TERRITORY),,2,17,1843
31.6,130.7,JAPAN,,10,31,1780
38.3,26.2,GREECE,,2,2,1866
31.6,130.7,JAPAN,,11,21,1797
1.37,125.1,INDONESIA,,12,25,1859
-14.214,-169.59,USA TERRITORY,,9,12,1866
62.366,17.333,SWEDEN,,11,14,1777
-31.61,-71.18,CHILE,,10,19,1847
36.4,25.3,GREECE,6.1,1,31,1866
26.2,127.5,JAPAN,,3,1,1865
37.8,-122.4,USA,,10,22,1855
14.55,120.9,PHILIPPINES,,9,16,1830
-3.7,128.2,INDONESIA,,11,19,1852
-12,-77,PERU,,,,1799
-12.1,-77.1,PERU,,4,22,1869
-33,-71.7,CHILE,,8,11,1855
24,89.25,BANGLADESH,6,11,11,1842
-33.88,18.45,SOUTH AFRICA,,12,4,1809
36,23,GREECE,6,2,6,1866
66.416,12.85,NORWAY,5.8,8,31,1819
-12.3,-77.3,PERU,,1,28,1840
37.8,21,GREECE,7,11,2,1791
57,-152,USA,,,,1792
32.7,-117.2,USA,5.9,5,27,1862
37.5,-122.3,USA,5.5,2,15,1856
10.7,-63.1,VENEZUELA,8.5,8,13,1868
-17.9,-149.9,FRENCH POLYNESIA,,7,12,1848
53,158.5,RUSSIA,,8,9,1827
54.52,-164.65,USA,,3,1,1820
7.333,93.667,INDIA,,10,31,1847
0.8,127.4,INDONESIA,,9,27,1854
-7,117,INDONESIA,8.5,11,8,1818
16.8,-99.9,MEXICO,,8,12,1868
34.8,138.3,JAPAN,6.4,7,13,1857
42.5,145,JAPAN,7.3,5,1,1839
20,-75.8,CUBA,,7,17,1852
58,-152,USA,,9,5,1866
14.5,121,PHILIPPINES,6,3,4,1862
13.7,-89.8,EL SALVADOR,7,12,9,1859
0.009,125.5,INDONESIA,7.3,7,29,1859
-27.35,-70.35,CHILE,7.2,5,26,1851
23.583,68.367,INDIA,6.3,6,19,1845
0.8,127.325,INDONESIA,,2,14,1840
32.6,129.9,JAPAN,6.4,5,26,1828
-4,101.5,INDONESIA,7,3,18,1818
0.9,124.9,INDONESIA,,12,17,1859
1.3,121,INDONESIA,,8,,1860
32.5,-115.5,MEXICO,7,11,29,1852
43.3,141.4,JAPAN,6.4,2,9,1834
44.6,141.5,JAPAN,6.4,9,20,1863
34.5,137.6,JAPAN,7,11,7,1855
-33,-71.4,CHILE,,11,19,1811
-39.9,-73.4,CHILE,,2,6,1869
-36.6,-73,CHILE,,1,27,1869
-33.1,-71.7,CHILE,,10,16,1868
-17,-72.5,PERU,,10,2,1868
-36.7,-73.2,CHILE,,9,14,1868
16.8,-99.2,MEXICO,,5,25,1868
55,-161,USA,,5,15,1868
18.1,-65.1,USA TERRITORY,,3,17,1868
10.9,-64.1,VENEZUELA,7.5,9,,1867
-19.5,-173.5,TONGA,8,11,18,1865
-19,168.5,VANUATU,7.5,8,17,1863
-6.1,106.7,INDONESIA,,3,16,1863
38.5,142,JAPAN,7.4,10,20,1861
-1.5,100,INDONESIA,6.5,9,25,1861
1,97.5,INDONESIA,6.8,6,17,1861
1,97.5,INDONESIA,7,4,26,1861
-1.25,128.5,INDONESIA,,10,6,1860
-12.1,-77.1,PERU,,4,23,1860
18.52,-73.35,HAITI,7.5,4,8,1860
-5.5,130.5,INDONESIA,6.8,9,25,1859
13.33,-87.81,EL SALVADOR,6.2,8,25,1859
-4.6,129.9,INDONESIA,,7,20,1859
1,126.5,INDONESIA,7,6,28,1859
1,126,INDONESIA,7.3,12,13,1858
26.2,127.5,JAPAN,,9,,1858
-30,-71.4,CHILE,6.5,4,24,1858
1.35,125.2,INDONESIA,,11,18,1857
1.35,125.2,INDONESIA,,11,17,1857
-8,115.5,INDONESIA,7,5,13,1857
40.2,29,TURKEY,,9,17,1857
-8.5,116,INDONESIA,,7,25,1856
15.91,-85.96,HONDURAS,,9,25,1855
40.75,-124.2,USA,6,3,20,1855
37.8,-122.4,USA,,10,22,1854
8.5,-83,COSTA RICA,7.2,8,7,1854
8.5,-83,COSTA RICA,7.2,8,4,1854
34.4,-119.7,USA,,5,31,1854
57,-152,USA,,1,27,1854
-3.5,128.6,INDONESIA,6,1,4,1854
-21.167,-175.167,TONGA,,12,24,1853
47,152,RUSSIA,,11,,1853
17,-100,MEXICO,7,12,4,1852
-12.1,-77.1,PERU,,11,27,1852
14.4,-61,MARTINIQUE (FRENCH TERRITORY),,11,30,1824
14.4,-61,MARTINIQUE (FRENCH TERRITORY),,11,30,1823
-6.5,108.5,INDONESIA,6.8,9,9,1823
5,96.5,INDONESIA,,5,1,1816
-10.217,123.633,INDONESIA,,,,1814
1.5,98,INDONESIA,6.8,11,11,1852
37.8,-122.4,USA,,5,15,1851
55,166,RUSSIA,,9,28,1849
-41.9,173.6,NEW ZEALAND,7.9,10,15,1848
-12.1,-77.1,PERU,,5,23,1847
39.5,142.5,JAPAN,6.9,3,,1846
2,126.5,INDONESIA,7.3,1,25,1846
-39.93,175.05,NEW ZEALAND,,7,5,1845
-7.2,114,INDONESIA,6,2,7,1843
1.5,98,INDONESIA,7.3,1,5,1843
-4,127.5,INDONESIA,6,12,16,1841
-5,130,INDONESIA,,11,26,1841
-36.7,-73.1,CHILE,,5,7,1838
5.5,96,INDONESIA,7.3,9,29,1837
-8.3,118.7,INDONESIA,7.5,11,28,1836
-22.6,-70.3,CHILE,7.5,7,3,1836
-8.3,118.7,INDONESIA,,3,5,1836
16.8,-99.9,MEXICO,7,3,14,1834
16.8,-99.9,MEXICO,,3,10,1833
12.4,-61.5,TRINIDAD AND TOBAGO,,12,3,1831
33.9,134.8,JAPAN,6.5,8,8,1808
-3.7,128.2,INDONESIA,,8,,1802
17.2,-62.4,ANTIGUA AND BARBUDA,,3,19,1802
18.47,-77.92,JAMAICA,,10,27,1787
10.2,-82.9,COSTA RICA,,2,22,1798
56,163,RUSSIA,6.8,4,15,1791
15.5,-97,MEXICO,7.3,4,3,1787
19,-72.4,HAITI,,12,18,1775
-3.7,128.2,INDONESIA,,4,18,1775
18.5,-72.3,HAITI,,6,3,1770
37.7,-122.1,USA,6.8,10,21,1868
40.4,19.5,ALBANIA,6.3,3,2,1866
40.3,19.4,ALBANIA,6.5,1,2,1866
13.25,123.5,PHILIPPINES,6,10,19,1865
37.2,-121.9,USA,6.3,10,8,1865
38.2,22.2,GREECE,7.3,12,26,1861
-27.35,-70.35,CHILE,7.6,10,5,1859
38.5,26.25,GREECE,6.6,11,13,1856
35.5,26,GREECE,8.3,10,12,1856
35.65,139.8,JAPAN,7,11,11,1855
34.1,-118.1,USA,6,7,11,1855
-41.25,175,NEW ZEALAND,8,1,23,1855
38.25,23.5,GREECE,,8,18,1853
10.5,-64.2,VENEZUELA,6.7,7,15,1853
14,120.5,PHILIPPINES,7.5,9,16,1852
40.5,19.7,ALBANIA,6.6,10,12,1851
35.5,28.7,TURKEY,7.2,2,28,1851
-29.95,-71.37,CHILE,7.5,11,17,1849
17,-100.6,MEXICO,8,4,7,1845
1.5,124.85,INDONESIA,7,2,8,1845
36.3,27.6,GREECE,6.5,10,18,1843
-39.9,175,NEW ZEALAND,7.5,7,8,1843
16.5,-62.2,GUADELOUPE (FRENCH TERRITORY),8.3,2,8,1843
52,158,RUSSIA,8.4,5,17,1841
-8,110.5,INDONESIA,7,1,4,1840
33,35.5,ISRAEL,,1,1,1837
40.4,19.9,ALBANIA,6.4,1,19,1833
14.55,120.9,PHILIPPINES,,1,18,1830
14.55,120.9,PHILIPPINES,7.5,11,9,1828
10.4,-61.3,TRINIDAD AND TOBAGO,,9,21,1825
11.1,-74.1,COLOMBIA,6.3,2,26,1825
38.8,20.7,GREECE,6.8,1,19,1825
14.25,121.25,PHILIPPINES,,10,26,1824
-33,-72,CHILE,8.5,11,20,1822
10.1,-83.3,COSTA RICA,7.6,5,7,1822
37.8,21.3,GREECE,6.5,1,6,1821
17.2,-99.6,MEXICO,7.6,5,4,1820
23,71,INDIA,7.7,6,16,1819
-27,-71.5,CHILE,8.5,4,12,1819
38.3,22.1,GREECE,6.8,8,23,1817
34.2,-119.9,USA,7.5,12,21,1812
18,-76.8,JAMAICA,,11,11,1812
10.6,-66.9,VENEZUELA,7.7,3,26,1812
39.9,139.9,JAPAN,6.6,9,25,1810
-12.1,-77.1,PERU,7.5,12,1,1806
38.3,21.8,GREECE,6.7,6,8,1804
38.2,21.8,GREECE,,1,8,1804
37.7,138.3,JAPAN,6.6,12,9,1802
54,162,RUSSIA,8.4,8,22,1792
18.1,-77.3,JAMAICA,,8,1,1781
45.3,151.2,RUSSIA,7.5,6,29,1780
31.58,130.67,JAPAN,,4,11,1781
0.8,127.325,INDONESIA,,11,9,1771
-5,130.5,INDONESIA,7,12,24,1852
-12,-77.1,PERU,,1,8,1865
-9,111,INDONESIA,,10,20,1859
16.5,-98.5,MEXICO,8.3,3,28,1787
19,-155.5,USA,7.9,4,3,1868
18.1,-65.1,USA TERRITORY,7.5,11,18,1867
40.5,143.5,JAPAN,8,8,23,1856
3.67,125.5,INDONESIA,,3,2,1856
42,146,JAPAN,8.4,4,25,1843
12.9,123.9,PHILIPPINES,6.5,3,22,1840
-42.5,-74,CHILE,8.5,11,7,1837
-36.83,-73.03,CHILE,8.2,2,20,1835
38.9,139.15,JAPAN,7.4,12,7,1833
-2.5,100.5,INDONESIA,8.3,11,24,1833
40.85,139.95,JAPAN,6.9,2,8,1793
16.9,-99.9,MEXICO,,3,28,1784
-5.25,129.75,INDONESIA,8.3,11,25,1852
58.63,-137.57,USA,,,,1853
-5.5,147,PAPUA NEW GUINEA,8,4,17,1857
43.5,140.6,JAPAN,6.9,6,13,1792
34.5,135.4,JAPAN,6.5,9,13,1791
25.34,121.91,TAIWAN,7,12,18,1867
36.4,22.2,GREECE,7.1,9,20,1867
14.5,121,PHILIPPINES,6.5,6,3,1863
38.5,144,JAPAN,8.3,2,17,1793
-8.2,118,INDONESIA,,4,10,1815
0.009,98,INDONESIA,7,3,9,1861
36.6,136.6,JAPAN,6.4,6,29,1799
0.001,99,INDONESIA,8,2,10,1797
55,-161,USA,8,8,6,1788
57,-153,USA,8,7,21,1788
35.1,139.7,JAPAN,7.3,8,22,1782
-1,135,INDONESIA,7.8,5,23,1864
34,137.9,JAPAN,8.3,12,23,1854
14,143.3,USA TERRITORY,7.5,1,25,1849
19.75,-72.2,HAITI,8.1,5,7,1842
37.9,141.9,JAPAN,7.6,7,20,1835
-7,119,INDONESIA,7.5,12,29,1820
39.05,139.95,JAPAN,7.3,7,10,1804
24,124.3,JAPAN,7.4,4,24,1771
32.75,130.3,JAPAN,6.4,5,21,1792
-8,115,INDONESIA,7,11,22,1815
33.1,135,JAPAN,8.4,12,24,1854
-1,97.5,INDONESIA,8.5,2,16,1861
-18.6,-71,CHILE,8.5,8,13,1868
24.5,120.5,TAIWAN,7,5,22,1782
12.5,123.5,PHILIPPINES,7,8,16,1869
10.5,-61.2,TRINIDAD AND TOBAGO,,11,3,1911
-33,-71.6,CHILE,,1,28,1878
38.789,15.213,ITALY,,5,22,1919
60,-139.58,USA,,7,4,1905
-18.3,-70.5,CHILE,,6,30,1878
-4,129,INDONESIA,,6,20,1891
-0.5,127.5,INDONESIA,,6,10,1891
6.1,1.2,TOGO,6.6,5,11,1911
49,-34.5,ATLANTIC OCEAN,,11,21,1894
39.5,20,GREECE,,6,27,1883
-20.2,-70.2,CHILE,,9,30,1878
-33,-71.6,CHILE,,11,23,1878
-9,124.85,INDONESIA,,2,13,1919
-33,-71.6,CHILE,,9,2,1877
-13.612,-172.525,SAMOA,,7,25,1907
-6.102,105.423,INDONESIA,,10,10,1883
-3.7,128.2,INDONESIA,,12,3,1914
3.138,125.491,INDONESIA,,7,18,1918
14.82,-61.17,MARTINIQUE (FRENCH TERRITORY),,8,30,1902
33.9,-117,USA,,8,7,1906
44.183,-68.917,USA,,11,17,1872
14.82,-61.17,MARTINIQUE (FRENCH TERRITORY),,5,8,1902
-0.25,104.5,INDONESIA,,1,,1917
-33,-71.5,CHILE,,8,8,1899
-6.102,105.423,INDONESIA,,2,,1884
40,-122,USA,,11,12,1884
35,-120,USA,,4,16,1877
-3.7,116.6,INDONESIA,,3,16,1917
-20.2,-70.1,CHILE,,2,3,1878
-13.612,-172.525,SAMOA,,11,28,1906
-33.8,151.3,AUSTRALIA,,8,12,1870
-13.612,-172.525,SAMOA,,6,27,1907
-13.612,-172.525,SAMOA,,10,6,1907
1.5,120.8,INDONESIA,,2,2,1904
-13.612,-172.525,SAMOA,,7,9,1907
-3.6,128.7,INDONESIA,,8,23,1917
-13.612,-172.525,SAMOA,,8,4,1905
-17.75,168.3,VANUATU,,8,27,1893
-33,-71.6,CHILE,,8,8,1879
3.67,125.5,INDONESIA,,6,7,1892
1.57,122.72,INDONESIA,,1,9,1917
20,-155,USA,,7,24,1869
-6.05,105.92,INDONESIA,,8,16,1889
-33.8,151.3,AUSTRALIA,,8,11,1869
19.23,-155.9,USA,,10,2,1919
-3.6,128.7,INDONESIA,,7,5,1904
-13.612,-172.525,SAMOA,,6,8,1907
-2.25,106,INDONESIA,,5,31,1883
-13.612,-172.525,SAMOA,,6,19,1907
32.2,29.6,EGYPT,,6,24,1870
1.1,124.3,INDONESIA,,8,3,1885
-41.3,174.8,NEW ZEALAND,,9,21,1897
60.5,-149,USA,6.9,9,22,1911
-21.38,-175.65,TONGA,,7,,1907
24.5,120.5,TAIWAN,6.2,12,9,1882
-15.25,166.83,VANUATU,,8,,1892
-6,147,PAPUA NEW GUINEA,7,,,1875
5.4,96,INDONESIA,,5,19,1891
5.4,96,INDONESIA,,5,19,1887
-2.55,140.75,INDONESIA,,11,21,1919
-13,-77,PERU,7,8,21,1871
34.227,-118.433,USA,,8,10,1879
59.5,-135.5,USA,5.5,9,24,1907
37.75,21,GREECE,,12,3,1898
-16.4,-71.5,PERU,6.5,1,10,1872
-4.25,152.25,PAPUA NEW GUINEA,6,2,25,1910
-7.111,143.53,PAPUA NEW GUINEA,6.9,1,19,1922
36,-120.5,USA,6.7,3,3,1901
48,-123.5,USA,,11,29,1891
20.7,-157,USA,7,2,20,1871
-6.8,120.8,INDONESIA,5.5,3,15,1897
-16,179,FIJI,,7,12,1881
1,-81,ECUADOR,,2,7,1906
36.7,137.3,JAPAN,,11,,1880
-19,168.5,VANUATU,8,2,11,1878
